provider,variable,n_provider (l pkt API),n (l dopasowań z ERA5),coverage_pct (% pokrycia ERA5),derived_n (ile wartości dorobiono z 10 m),derived_pct (% dorobionych wartości),bias_mean (błąd średni: pred − ERA5),mae (średni błąd bezwzględny),rmse (pierwiastek średniego błędu kwadratowego),corr (korelacja P),over_pct (% zawyżenia),under_pct (% zanizenia)
metno,precipitation,63,15,23.81,0,0.0,-0.0672,0.0672,0.2602644808651384,,0.0,6.666666666666667
metno,temperature_2m,79,15,18.99,0,0.0,5.535399999999999,5.676599999999999,6.605096905673173,0.23878864197875524,86.66666666666667,13.333333333333334
metno,wind_direction_100m,79,15,18.99,79,100.0,38.037266666666675,130.4862,135.59915663331637,-0.02905012734163305,60.0,40.0
metno,wind_speed_100m,79,15,18.99,79,100.0,-1.40576456215907,1.4578688426365933,2.0853404201547248,-0.7187878319352796,13.333333333333334,86.66666666666667
openmeteo,precipitation,168,24,14.29,0,0.0,-0.137125,0.137125,0.4912379345422474,,0.0,12.5
openmeteo,temperature_2m,168,24,14.29,0,0.0,2.0638749999999995,6.115291666666667,6.861663510038946,-0.5496543244867269,58.333333333333336,41.66666666666667
openmeteo,wind_direction_100m,168,24,14.29,0,0.0,50.37020833333333,96.93079166666666,102.51032524356592,0.18635931156924043,79.16666666666666,20.833333333333336
openmeteo,wind_speed_100m,168,24,14.29,0,0.0,7.88325,7.88325,8.50522604539899,0.3124516483196867,100.0,0.0
openweather,precipitation,40,4,10.0,0,0.0,-0.252,0.252,0.504,,0.0,25.0
openweather,temperature_2m,40,4,10.0,0,0.0,6.408249999999999,6.408249999999999,7.107779171443073,0.4550826000578899,100.0,0.0
openweather,wind_direction_100m,40,4,10.0,40,100.0,21.79175,128.78124999999997,132.27948482380023,-0.3988202137208127,50.0,50.0
openweather,wind_speed_100m,40,4,10.0,40,100.0,-0.8131831192555209,1.3548566445951744,1.6967287626558276,-0.8861055037031177,50.0,50.0
visualcrossing,precipitation,166,24,14.46,0,0.0,-0.137125,0.137125,0.4912379345422474,,0.0,12.5
visualcrossing,temperature_2m,166,24,14.46,0,0.0,0.0930416666666664,6.731125000000001,7.738836656220796,-0.34017936265880344,54.166666666666664,45.83333333333333
visualcrossing,wind_direction_100m,166,24,14.46,166,100.0,30.036875,92.44395833333333,100.4299588347106,-0.028065930089486362,58.333333333333336,41.66666666666667
visualcrossing,wind_speed_100m,166,24,14.46,166,100.0,-2.7981348994736557,2.9270363124683616,3.574392824548951,-0.17802378146908984,8.333333333333332,91.66666666666666
weatherapi,precipitation,168,24,14.29,0,0.0,-0.137125,0.137125,0.4912379345422474,,0.0,12.5
weatherapi,temperature_2m,168,24,14.29,0,0.0,1.4388749999999997,6.398625,7.222406186652755,-0.6352329729370697,58.333333333333336,41.66666666666667
weatherapi,wind_direction_100m,168,24,14.29,168,100.0,54.161875,95.80579166666666,109.87518615020257,-0.012774927513649127,79.16666666666666,20.833333333333336
weatherapi,wind_speed_100m,168,24,14.29,168,100.0,-2.0548963397276268,2.33662794254216,2.8515590024189232,-0.9328150164486962,25.0,75.0
